,ds,y
0,7/1/2017,6.011267174
1,8/1/2017,5.998936562
2,9/1/2017,6.927557906
3,10/1/2017,4.564348191
4,11/1/2017,4.564348191
5,12/1/2017,6.436150368
6,1/1/2018,5.66296048
7,2/1/2018,5.480638923
8,3/1/2018,5.620400866
9,4/1/2018,4.430816799
10,5/1/2018,6.173786104
11,6/1/2018,5.620400866
12,7/1/2018,6.040254711
13,8/1/2018,5.918893854
14,9/1/2018,5.257495372
15,10/1/2018,2.48490665
